orderItemId,ean,cancelRequest,quantity,orderId,dateTimeOrderPlaced,Courier,track
2279588377,0669145851986,False,1,2463615510,2019-07-31T22:05:49+02:00,DPD Predict,01345057490411
2279176231,0669145851986,False,1,2462253530,2019-07-31T11:30:34+02:00,DPD Predict,01345057490412
2279074263,0649106504618,False,1,2461904660,2019-07-31T04:31:46+02:00,DPD Predict,01345057490479
2279058238,0669145851962,False,2,2461830790,2019-07-31T00:01:46+02:00,DPD Predict,01345057490428
2278810248,0669145852747,False,1,2461053960,2019-07-30T17:30:21+02:00,DPD Predict,01345057490427
2278239411,0669145852747,True,1,2459556190,2019-07-29T20:51:03+02:00,DPD Predict,01345057490425
2277958168,0669145852747,False,2,2458925320,2019-07-29T15:43:43+02:00,DPD Predict,01345057490426
2277631186,0649106507787,False,1,2458190490,2019-07-29T08:58:24+02:00,DPD Predict,01345057490424
2277302911,0669145851962,False,2,2457485420,2019-07-28T19:16:24+02:00,DPD Predict,01345057490420
2276766049,0669145851962,False,1,2456329860,2019-07-27T23:17:22+02:00,DPD Predict,01345057490421
