DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL596380,KA526975,08.08.19,2470889680,GLS Normalpaket,352559719605,,,,
KL593710,KA524305,08.08.19,305-3494461-5945926,GLS Normalpaket,352559719902,53235636253827,,,
KL595831,KA525759,08.08.19,028-8145185-2624335,GLS Normalpaket,352559719612,27198820081987,,,
KL593706,KA524309,08.08.19,305-3595143-6627541,GLS Normalpaket,352559719919,56610573928059,,,
KL593659,KA524352,08.08.19,305-4961896-3011506,GLS Normalpaket,352559719926,18372591402219,,,
KL592328,KA525270,08.08.19,2466033860,GLS Normalpaket,352559720670,,,,
KL592327,KA525270,08.08.19,2466033860,GLS Normalpaket,352559720687,,,,
KL595506,KA526037,08.08.19,303-4856674-3547569,GLS Normalpaket,352559719629,08408677759427,,,
KL596368,KA526986,08.08.19,2471180400-1,GLS Normalpaket,352559720694,,,,
KL593394,KA524591,08.08.19,306-4763817-7743563,GLS Normalpaket,352559719933,38725184014915,,,
KL595014,KA526099,08.08.19,304-0189582-5521933,GLS Normalpaket,352559719636,21584941067691,,,
KL593287,KA524684,08.08.19,306-8146019-5622715,GLS Normalpaket,352559719940,67614608172003,,,
KL592553,KA525360,08.08.19,2468496130,GLS Normalpaket,352559720700,,,,
KL592552,KA525360,08.08.19,2468496130,GLS Normalpaket,352559720717,,,,
KL594856,KA526245,08.08.19,305-0677851-2753968,GLS Normalpaket,352559719643,38659462111259,,,
KL592529,KA525378,08.08.19,2468870800,GLS Normalpaket,352559720724,,,,
KL595754,KA525823,08.08.19,302-0794360-9851556,GLS Normalpaket,352559719971,08200283732907,,,
KL595475,KA526066,08.08.19,303-7081101-9283536,GLS Normalpaket,352559719988,20332532659203,,,
KL595218,KA526470,08.08.19,306-7183058-0281126,GLS Normalpaket,352559719650,09722213323939,,,
KL595335,KA526362,08.08.19,305-8417448-8500350,GLS Normalpaket,352559719995,48110144845579,,,
KL591515,KA522779,08.08.19,sand-M9GSLH4,GLS Normalpaket,352559720052,,,,
KL593096,KA524855,08.08.19,405-5177033-4744357,GLS Normalpaket,352559720731,22759758606891,,,
KL597236,KA528290,08.08.19,2471885320,GLS Normalpaket,352559719667,,,,
KL593661,KA524350,08.08.19,305-4812183-3043510,GLS Normalpaket,352559720083,46696243914723,,,
KL597361,KA528361,08.08.19,2473176990,GLS Normalpaket,352559719674,,,,
KL596377,KA526978,08.08.19,2470975570,GLS Normalpaket,352559720090,,,,
KL596376,KA526978,08.08.19,2470975570,GLS Normalpaket,352559720106,,,,
KL592766,KA525298,08.08.19,2467017450,GLS Normalpaket,352559720755,,,,
KL597276,KA528435,08.08.19,10070236,GLS Normalpaket,352559720809,,,,
KL597069,KA528150,08.08.19,sand-MK19KH4,GLS Normalpaket,352559720137,,,,
KL596075,KA526786,08.08.19,sand-123825442486-2138924116002,GLS Normalpaket,352559720816,,,,
KL597401,KA528322,08.08.19,2472534110,GLS Normalpaket,352559720144,,,,
KL592759,KA525305,08.08.19,2467105140,GLS Normalpaket,352559720823,,,,
KL597407,KA528317,08.08.19,2472391020,GLS Normalpaket,352559720151,,,,
KL594778,KA523191,08.08.19,028-2545195-3775500,GLS Normalpaket,352559720762,68623959869899,,,
KL592758,KA525305,08.08.19,2467105140,GLS Normalpaket,352559720830,,,,
KL594426,KA523670,08.08.19,302-8987516-8333919,GLS Normalpaket,352559721318,59761429997931,,,
KL592756,KA525307,08.08.19,2467196670,GLS Normalpaket,352559720847,,,,
KL597404,KA528320,08.08.19,2472444110,GLS Normalpaket,352559721325,,,,
KL596418,KA526939,08.08.19,2469909930,GLS Normalpaket,352559720854,,,,
KL597231,KA528295,08.08.19,2471972520,GLS Normalpaket,352559721332,,,,
KL597011,KA528093,08.08.19,sand-M8WTKH4,GLS Normalpaket,352559720779,,,,
KL596412,KA526945,08.08.19,2469973800,GLS Normalpaket,352559720861,,,,
KL597228,KA528298,08.08.19,2472015810,GLS Normalpaket,352559721349,,,,
KL597277,KA528435,08.08.19,10070236,GLS Normalpaket,352559720878,,,,
KL592745,KA525318,08.08.19,2467444450,GLS Normalpaket,352559720885,,,,
KL596280,KA526907,08.08.19,sand-172806959086-2014418007007,GLS Normalpaket,352559721356,,,,
KL592369,KA525232,08.08.19,43164355,GLS Normalpaket,352559720786,,,,
KL592322,KA525275,08.08.19,2466222180,GLS Normalpaket,352559720892,,,,
KL592775,KA523523,08.08.19,302-3276757-4169933,GLS Normalpaket,352559720793,26854345636363,,,
KL594339,KA523745,08.08.19,303-1017810-2798746,GLS Normalpaket,352559721363,22780615626051,,,
KL592485,KA525418,08.08.19,2469634140,GLS Normalpaket,352559720908,,,,
KL593679,KA524334,08.08.19,305-4324919-4926711,GLS Normalpaket,352559720915,37169828597395,,,
KL592475,KA525428,08.08.19,1107149572,GLS Normalpaket,352559722148,,,,
KL593436,KA524554,08.08.19,306-2936982-0050730,GLS Normalpaket,352559720922,34120465398539,,,
KL592382,KA525223,08.08.19,43058660,GLS Normalpaket,352559722155,,,,
KL575008,KA509157,08.08.19,304-7517832-6047561,GLS Normalpaket,352559721387,67066779364955,,,
KL593340,KA524642,08.08.19,306-6645966-2693954,GLS Normalpaket,352559720939,19239353307643,,,
KL592903,KA523409,08.08.19,171-3433942-4081954,GLS Normalpaket,352559722186,40735679909691,,,
KL596294,KA526920,08.08.19,2466568690,GLS Normalpaket,352559720946,,,,
KL592894,KA523418,08.08.19,171-5310901-8422706,GLS Normalpaket,352559722193,27925902225571,,,
KL585506,KA517405,08.08.19,2456984190,GLS Normalpaket,352559721417,,,,
KL595473,KA526068,08.08.19,303-7197266-3501130,GLS Normalpaket,352559720953,60584269105659,,,
KL589487,KA521202,08.08.19,305-7104985-0574712,GLS Normalpaket,352559721455,22923752135691,,,
KL595191,KA526491,08.08.19,306-9074309-2862710,GLS Normalpaket,352559720960,46127632392091,,,
KL591629,KA522785,08.08.19,sand-173901833236-2042087217007,GLS Normalpaket,352559721462,,,,
KL592885,KA523427,08.08.19,171-7879775-2145900,GLS Normalpaket,352559722209,35732787188123,,,
KL597254,KA528272,08.08.19,2458645250,GLS Normalpaket,352559720977,,,,
KL591068,KA521780,08.08.19,028-2659183-5129147,GLS Normalpaket,352559721479,15732435409635,,,
KL597372,KA528350,08.08.19,2472901940,GLS Normalpaket,352559720984,,,,
KL594346,KA523739,08.08.19,303-0966108-0836335,GLS Normalpaket,352559722216,40874328871211,,,
KL592352,KA525248,08.08.19,2465073770,GLS Normalpaket,352559721219,,,,
KL596541,KA527337,08.08.19,1090602089,,352560297239,,,,
KL596180,KA526821,08.08.19,sand-M58CSH4,GLS Normalpaket,352559721226,,,,
KL597102,KA528180,08.08.19,sand-173417846388-2043385374007,,352559721677,,,,
KL594244,KA523833,08.08.19,303-4222296-4849146,GLS Normalpaket,352559722223,33564503543147,,,
KL592755,KA525308,08.08.19,2467225270,GLS Normalpaket,352559721233,,,,
KL592918,KA523394,08.08.19,028-9938297-5733135,GLS Normalpaket,352559721684,22501364213083,,,
KL592508,KA525399,08.08.19,2469331680,GLS Normalpaket,352559721240,,,,
KL597099,KA528127,08.08.19,sand-MQWQKH4,,352559721721,,,,
KL594059,KA523992,08.08.19,303-9837956-8973123,GLS Normalpaket,352559722230,33333360591899,,,
KL594737,KA523227,08.08.19,028-3477670-1869160,GLS Normalpaket,352559721257,12810599483267,,,
KL597134,KA528230,08.08.19,sand-123257942590-2139166390002,,352559721776,,,,
KL597318,KA528399,08.08.19,1090691007,,352560297314,,,,
KL594695,KA523264,08.08.19,028-4684074-4021961,GLS Normalpaket,352559721264,28693854029963,,,
KL597197,KA528256,08.08.19,sand-173417846388-2042916829007,,352559721820,,,,
KL597100,KA528126,08.08.19,sand-MDRQKH4,,352559721912,,,,
KL597312,KA528404,08.08.19,1090707013,,352560297376,,,,
KL593931,KA524106,08.08.19,304-4894096-5685156,GLS Normalpaket,352559722247,08446252267387,,,
KL596288,KA526926,08.08.19,2469667610,GLS Normalpaket,352559721271,,,,
KL597126,KA528237,08.08.19,sand-M6PYSH4,,352559721943,,,,
KL596374,KA526980,08.08.19,2470997470-4,GLS Normalpaket,352559721981,,,,
KL593230,KA524736,08.08.19,402-0120062-6269125,GLS Normalpaket,352559722254,53419659706931,,,
KL594860,KA526241,08.08.19,305-0454781-3265920,GLS Normalpaket,352559721288,61761635577451,,,
KL595349,KA526351,08.08.19,305-7663190-7689942,GLS Normalpaket,352559722025,50995374736819,,,
KL597247,KA528279,08.08.19,2471605420,GLS Normalpaket,352559721295,,,,
KL592803,KA523499,08.08.19,302-2323464-3669920,GLS Normalpaket,352559722032,14364585731811,,,
KL593226,KA524740,08.08.19,402-1199299-3179536,GLS Normalpaket,352559722261,28893937582547,,,
KL597234,KA528292,08.08.19,2471888760,GLS Normalpaket,352559721301,,,,
KL592338,KA525260,08.08.19,2465775710,GLS Normalpaket,352559720571,,,,
KL593212,KA524751,08.08.19,402-4204133-2230761,GLS Normalpaket,352559722278,17722127453627,,,
KL592047,KA525043,08.08.19,sand-MA7ZGH4,GLS Normalpaket,352559722131,,,,
KL588961,KA520627,08.08.19,sand-MHGZ7H4,GLS Normalpaket,352559720601,,,,
KL593211,KA524752,08.08.19,402-5781809-6245117,GLS Normalpaket,352559722285,25106855274627,,,
KL588013,KA519806,08.08.19,304-0645297-5875506,GLS Normalpaket,352559720618,37246116138435,,,
KL591606,KA522802,08.08.19,sand-MT5FLH4,GLS Normalpaket,352559719186,,,,
KL590843,KA521970,08.08.19,303-0449099-5711563,GLS Normalpaket,352559720625,01799372031331,,,
KL591984,KA523080,08.08.19,sand-MG11GH4,GLS Normalpaket,352559719315,,,,
KL593202,KA524759,08.08.19,402-7629989-1079549,GLS Normalpaket,352559722292,64403713882083,,,
KL594023,KA524025,08.08.19,304-1403177-9988367,GLS Normalpaket,352559720649,05077990437203,,,
KL593203,KA524759,08.08.19,402-7629989-1079549,GLS Normalpaket,352559722308,64403713882083,,,
KL593201,KA524759,08.08.19,402-7629989-1079549,GLS Normalpaket,352559722315,64403713882083,,,
KL592171,KA525148,08.08.19,sand-ML5KGH4,GLS Normalpaket,352559719346,,,,
KL593146,KA524808,08.08.19,404-0417109-8893162,GLS Normalpaket,352559722377,22348837537739,,,
KL593194,KA524765,08.08.19,402-9588283-1313119,GLS Normalpaket,352559722322,58879859057315,,,
KL593145,KA524809,08.08.19,404-0760593-1944358,GLS Normalpaket,352559722384,41709097574107,,,
KL593171,KA524786,08.08.19,403-5759116-0367561,GLS Normalpaket,352559722339,70141931524643,,,
KL585718,KA518669,08.08.19,sand-173968747010-2040742335007,GLS Normalpaket,352559718882,,,,
KL593142,KA524812,08.08.19,404-2005476-0611568,GLS Normalpaket,352559722391,21837048440283,,,
KL588968,KA520622,08.08.19,sand-ME6Z7H4,GLS Normalpaket,352559719049,,,,
KL593124,KA524829,08.08.19,404-7458276-9119546,GLS Normalpaket,352559722407,09507730189243,,,
KL593161,KA524794,08.08.19,403-7114581-1729964,GLS Normalpaket,352559722346,49230704887651,,,
KL593122,KA524831,08.08.19,404-9384401-2682729,GLS Normalpaket,352559722414,00058926512771,,,
KL593160,KA524795,08.08.19,403-7206688-1861112,GLS Normalpaket,352559722353,39129538172923,,,
KL591189,KA522652,08.08.19,sand-123839051130-2137272821002,GLS Normalpaket,352559719100,,,,
KL593104,KA524847,08.08.19,405-3611747-3167514,GLS Normalpaket,352559722421,27808065395563,,,
KL592044,KA525045,08.08.19,sand-M3RZGH4,GLS Normalpaket,352559719353,,,,
KL593152,KA524803,08.08.19,403-9731674-3541942,GLS Normalpaket,352559722360,45879057511875,,,
KL593085,KA524866,08.08.19,405-7665999-1667546,GLS Normalpaket,352559722438,06534177158459,,,
KL595057,KA526618,08.08.19,408-0528124-3124316,DPD Predict,01345057491436,23004246030891,,,
KL596367,KA526987,08.08.19,2471180400-2,GLS Normalpaket,352559720588,,,,
KL596224,KA526894,08.08.19,sand-MQC3SH4,GLS Normalpaket,352559720632,,,,
KL593065,KA524885,08.08.19,406-3424444-0811522,GLS Normalpaket,352559722476,19308400484851,,,
KL593054,KA524895,08.08.19,406-6022713-6295563,GLS Normalpaket,352559722483,35493481013843,,,
KL596322,KA527029,08.08.19,1907312338TUVPX,GLS Normalpaket,352559722681,,,,
KL597999,KA529965,08.08.19,610-704-484,GLS Normalpaket,352559723992,,,,
KL593051,KA524898,08.08.19,406-6937477-3984337,GLS Normalpaket,352559722490,47628667916467,,,
KL593047,KA524901,08.08.19,406-7104334-2573134,GLS Normalpaket,352559722506,14679010792963,,,
KL597714,KA529405,08.08.19,304-2493018-0036337,GLS Normalpaket,352559724012,19589232213987,,,
KL596821,KA527118,08.08.19,4024296303-A-1,GLS Normalpaket,352559722698,,,,
KL593028,KA524919,08.08.19,407-1903044-6270703,GLS Normalpaket,352559722513,39487679758859,,,
KL597625,KA529489,08.08.19,305-3247788-9190768,GLS Normalpaket,352559724036,05326342954371,,,
KL593014,KA524932,08.08.19,407-4624622-6527554,GLS Normalpaket,352559722520,02567580228131,,,
KL597642,KA529474,08.08.19,305-1325539-7627507,GLS Normalpaket,352559724043,60597612733459,,,
KL597713,KA529406,08.08.19,304-2555465-7921946,GLS Normalpaket,352559724050,16394520890011,,,
KL596753,KA527167,08.08.19,4290839901-A-2,GLS Normalpaket,352559722704,,,,
KL596755,KA527165,08.08.19,4290831501-A-1,GLS Normalpaket,352559722711,,,,
KL593012,KA524934,08.08.19,407-6453388-0950732,GLS Normalpaket,352559722537,39588870888467,,,
KL596353,KA527000,08.08.19,1907301645U4018,GLS Normalpaket,352559722728,,,,
KL597635,KA529480,08.08.19,305-2109153-4423502,GLS Normalpaket,352559724067,45030772806451,,,
KL593010,KA524936,08.08.19,407-7183084-8385911,GLS Normalpaket,352559722544,32783872707427,,,
KL593008,KA524938,08.08.19,407-7655854-2445137,GLS Normalpaket,352559722551,13135191053467,,,
KL593001,KA524945,08.08.19,407-9855970-1325900,GLS Normalpaket,352559722568,49025661978923,,,
KL597837,KA529679,08.08.19,404-7773468-3124324,GLS Normalpaket,352559724074,46424180693499,,,
KL596649,KA527248,08.08.19,4292466601-A-1,GLS Normalpaket,352559722735,,,,
KL596748,KA527171,08.08.19,4290910101-A-1,GLS Normalpaket,352559722766,,,,
KL592994,KA524951,08.08.19,408-2351658-8377112,GLS Normalpaket,352559722575,39262065402875,,,
KL597908,KA529611,08.08.19,306-5900358-7549906,GLS Normalpaket,352559724081,55559371014019,,,
KL597909,KA529610,08.08.19,306-5852649-4919562,GLS Normalpaket,352559724098,02250156451971,,,
KL595792,KA525792,08.08.19,171-3611748-1329931,GLS Normalpaket,352559722773,67412612071979,,,
KL592979,KA524966,08.08.19,408-5811940-3565158,GLS Normalpaket,352559722582,67668623974667,,,
KL597503,KA529213,08.08.19,302-1903783-2621924,GLS Normalpaket,352559723602,14997919287179,,,
KL597910,KA529610,08.08.19,306-5852649-4919562,GLS Normalpaket,352559724104,02250156451971,,,
KL597955,KA529567,08.08.19,306-0251016-2632311,GLS Normalpaket,352559724111,52371448076083,,,
KL592967,KA524978,08.08.19,408-9206328-6873947,GLS Normalpaket,352559722599,15626121558699,,,
KL597498,KA529218,08.08.19,302-3258606-9676300,GLS Normalpaket,352559724128,24075984980595,,,
KL597727,KA529392,08.08.19,304-1793278-9888351,GLS Normalpaket,352559723619,45956911214931,,,
KL597829,KA529687,08.08.19,405-0508556-0664356,GLS Normalpaket,352559723626,26378928062939,,,
KL597804,KA529711,08.08.19,406-8223950-7672349,GLS Normalpaket,352559723633,15629627928467,,,
KL596775,KA527150,08.08.19,4290473502-A-1,GLS Normalpaket,352559722605,,,,
KL597810,KA529705,08.08.19,406-1110076-7268327,GLS Normalpaket,352559723640,15669278054563,,,
KL597757,KA529362,08.08.19,303-9309752-4053909,GLS Normalpaket,352559723657,56541728537299,,,
KL579506,KA512864,08.08.19,sand-173911732746-2038368478007,GLS Normalpaket,352559724234,,,,
KL596816,KA527122,08.08.19,4286192102-A-1,GLS Normalpaket,352559722612,,,,
KL597699,KA529418,08.08.19,304-4706444-5317947,GLS Normalpaket,352559723862,02679956727763,,,
KL597139,KA528225,08.08.19,sand-MS4ZSH4,GLS Normalpaket,352559722629,,,,
KL598086,KA529884,08.08.19,4296247601-A-1,GLS Normalpaket,352559723879,,,,
KL596720,KA527192,08.08.19,4291495701-A-1,GLS Normalpaket,352559722636,,,,
KL597781,KA529734,08.08.19,408-8503244-3746738,GLS Normalpaket,352559723893,06221600757475,,,
KL577715,KA511109,08.08.19,302-3974483-3773941,GLS Normalpaket,352559724265,58532076483243,,,
KL596740,KA527178,08.08.19,4291105501-A-1,GLS Normalpaket,352559722643,,,,
KL597522,KA529197,08.08.19,302-0364432-7497154,GLS Normalpaket,352559723909,26017141889195,,,
KL596856,KA527085,08.08.19,1908032334TCREE,GLS Normalpaket,352559722650,,,,
KL597593,KA529130,08.08.19,028-4724722-5809922,GLS Normalpaket,352559723916,02369111557595,,,
KL597762,KA529357,08.08.19,303-8543821-3345132,GLS Normalpaket,352559723923,31362883448451,,,
KL597515,KA529202,08.08.19,302-1141364-9168367,GLS Normalpaket,352559723930,43856431155043,,,
KL578655,KA511923,08.08.19,305-8505793-0313139,GLS Normalpaket,352559724302,37359592851739,,,
KL596599,KA527290,08.08.19,4293438101-A-1,GLS Normalpaket,352559722667,,,,
KL597653,KA529463,08.08.19,304-9662637-5394712,GLS Normalpaket,352559723947,13329716959971,,,
KL597679,KA529438,08.08.19,304-7491836-8590750,GLS Normalpaket,352559723954,57618856399787,,,
KL596616,KA527275,08.08.19,4293135701-A-1,GLS Normalpaket,352559722674,,,,
KL597926,KA529595,08.08.19,306-3487540-3288351,GLS Normalpaket,352559723961,23768965071507,,,
KL598057,KA529912,08.08.19,1090703269,GLS Normalpaket,352560297437,,,,
KL580549,KA513763,08.08.19,sand-MSKRTH4,GLS Normalpaket,352559724326,,,,
KL581447,KA514367,08.08.19,303-4098747-2904317,GLS Normalpaket,352559724456,48075135616795,,,
KL580673,KA513873,08.08.19,sand-M1ZUTH4,GLS Normalpaket,352559724333,,,,
KL597549,KA529171,08.08.19,028-9673294-3412363,GLS Normalpaket,352559723978,49943862896099,,,
KL598066,KA529904,08.08.19,1090669231,GLS Normalpaket,352560297451,,,,
KL597740,KA529379,08.08.19,304-0689657-0685946,GLS Normalpaket,352559723985,20324418063723,,,
KL581415,KA514392,08.08.19,303-9183897-7269960,GLS Normalpaket,352559724463,38149039009531,,,
KL597609,KA529502,08.08.19,305-4487051-3314712,GLS Normalpaket,352559724951,63875571246619,,,
KL580630,KA513912,08.08.19,sand-173894961283-2038671921007,GLS Normalpaket,352559724340,,,,
KL581936,KA514875,08.08.19,304-4347868-1717947,GLS Normalpaket,352559724487,56816342601731,,,
KL581909,KA514901,08.08.19,305-6885514-5676310,GLS Normalpaket,352559724494,41022429866027,,,
KL579358,KA512742,08.08.19,sand-M3C9TH4,GLS Normalpaket,352559724357,,,,
KL598505,KA530022,08.08.19,028-5069881-9907543,GLS Normalpaket,352559724999,23519833985611,,,
KL598226,KA529765,08.08.19,1908052053SZP1S,GLS Normalpaket,352559725002,,,,
KL582352,KA515199,08.08.19,sand-M9G5EH4,GLS Normalpaket,352559724500,,,,
KL598357,KA529288,08.08.19,303-0737062-6185911,GLS Normalpaket,352559725019,63596990736659,,,
KL598361,KA529284,08.08.19,302-9944450-5630734,GLS Normalpaket,352559725026,31146742963835,,,
KL598277,KA529537,08.08.19,305-7395277-8503552,GLS Normalpaket,352559725033,48128172998987,,,
KL598200,KA529789,08.08.19,1908061449STV1U,GLS Normalpaket,352559725040,,,,
KL578988,KA512611,08.08.19,305-7986324-4527543,GLS Normalpaket,352559724364,68366084030643,,,
KL582336,KA515213,08.08.19,sand-MBE9EH4,GLS Normalpaket,352559724517,,,,
KL582213,KA515103,08.08.19,sand-M53SEH4,GLS Normalpaket,352559724524,,,,
KL580506,KA513345,08.08.19,028-4440912-0050744,GLS Normalpaket,352559724388,08459157521195,,,
KL585352,KA517514,08.08.19,1907282137UEQEH,GLS Normalpaket,352559725057,,,,
KL585476,KA517433,08.08.19,2457475000,GLS Normalpaket,352559725064,,,,
KL582208,KA515107,08.08.19,sand-173911732746-2039903287007,GLS Normalpaket,352559724531,,,,
KL582438,KA517060,08.08.19,sand-MDXB6H4,GLS Normalpaket,352559724555,,,,
KL584924,KA515374,08.08.19,028-4714834-0158764,GLS Normalpaket,352559725071,42314116559899,,,
KL587333,KA519329,08.08.19,sand-M5ZL7H4,GLS Normalpaket,352559725088,,,,
KL580425,KA513416,08.08.19,302-2490828-6592313,GLS Normalpaket,352559724395,13927131226131,,,
KL580363,KA513473,08.08.19,303-3758782-1881916,GLS Normalpaket,352559724401,27148322946747,,,
KL598401,KA529246,08.08.19,302-6606244-4987562,GLS Normalpaket,352559724678,17390920577995,,,
KL588501,KA520249,08.08.19,4257072701-A-1,GLS Normalpaket,352559725095,,,,
KL598462,KA530061,08.08.19,028-8868204-7074744,GLS Normalpaket,352559724685,07919990024523,,,
KL598463,KA530061,08.08.19,028-8868204-7074744,GLS Normalpaket,352559724692,07919990024523,,,
KL598255,KA529559,08.08.19,305-9663797-7865140,GLS Normalpaket,352559724746,35131122001187,,,
KL590224,KA521677,08.08.19,2464534930,GLS Normalpaket,352559725101,,,,
KL598240,KA529752,08.08.19,1908051417T2N6O,GLS Normalpaket,352559725361,,,,
KL580254,KA513574,08.08.19,304-9070193-2969936,GLS Normalpaket,352559724418,58951031167659,,,
KL598265,KA529547,08.08.19,305-8285141-7002741,GLS Normalpaket,352559724760,66247807403739,,,
KL598139,KA529836,08.08.19,4294573501-A-1,GLS Normalpaket,352559725378,,,,
KL598089,KA529881,08.08.19,4296135201-A-1,GLS Normalpaket,352559724777,,,,
KL598634,KA530212,08.08.19,303-2025484-8193141,GLS Normalpaket,352559725484,53473273680947,,,
KL597606,KA529505,08.08.19,305-4551928-3524336,GLS Normalpaket,352559724784,23792263368059,,,
KL597535,KA529184,08.08.19,171-1498667-5469140,GLS Normalpaket,352559725491,01170756907851,,,
KL580810,KA514011,08.08.19,305-5900989-9354735,GLS Normalpaket,352559724425,44324681437563,,,
KL598267,KA529545,08.08.19,305-8268196-6965934,GLS Normalpaket,352559724791,28578357896243,,,
KL597512,KA529205,08.08.19,302-1427284-3425167,GLS Normalpaket,352559725507,19988836867947,,,
KL598166,KA529816,08.08.19,4294003102-A-1,GLS Normalpaket,352559724807,,,,
KL597492,KA529224,08.08.19,302-3732352-1425144,GLS Normalpaket,352559725514,58020867339347,,,
KL597933,KA529589,08.08.19,306-2597920-1829909,GLS Normalpaket,352559724821,48582718589715,,,
KL598253,KA529739,08.08.19,1908030502THNOL,GLS Normalpaket,352559725521,,,,
KL598203,KA529786,08.08.19,1908061406SU8PL,GLS Normalpaket,352559724838,,,,
KL598435,KA529973,08.08.19,028-0838036-2162719,GLS Normalpaket,352559725538,31575117548251,,,
KL582125,KA514988,08.08.19,sand-173902779964-2039483687007,GLS Normalpaket,352559724432,,,,
KL597735,KA529384,08.08.19,304-1014444-1477130,GLS Normalpaket,352559724845,09997845472611,,,
KL598502,KA530025,08.08.19,028-5215234-5099509,GLS Normalpaket,352559725545,31016453338379,,,
KL598143,KA529833,08.08.19,4294533101-A-1,GLS Normalpaket,352559724852,,,,
KL598342,KA529303,08.08.19,303-2137528-3043524,GLS Normalpaket,352559725552,44679389073347,,,
KL598144,KA529833,08.08.19,4294533101-A-1,GLS Normalpaket,352559724869,,,,
KL597669,KA529447,08.08.19,304-8083416-8182718,GLS Normalpaket,352559724876,03334762271867,,,
KL598345,KA529300,08.08.19,303-1904610-8148322,GLS Normalpaket,352559725569,34048740211763,,,
KL598340,KA529304,08.08.19,303-2234863-5437918,GLS Normalpaket,352559725613,44158009734443,,,
KL598275,KA529539,08.08.19,305-7528127-2805969,GLS Normalpaket,352559724883,65592273918923,,,
KL598244,KA529747,08.08.19,1908051218T3S5D,GLS Normalpaket,352559725576,,,,
KL598308,KA529334,08.08.19,303-6052166-2977142,GLS Normalpaket,352559724906,38164132254139,,,
KL598245,KA529746,08.08.19,1908051210T3V4S,GLS Normalpaket,352559725583,,,,
KL598347,KA529298,08.08.19,303-1605815-8647523,GLS Normalpaket,352559725620,34837081823667,,,
KL597581,KA529142,08.08.19,028-6346490-4312363,GLS Normalpaket,352559724920,18428096655371,,,
KL598377,KA529268,08.08.19,302-8727779-2623557,GLS Normalpaket,352559725637,20599857441083,,,
KL598285,KA529530,08.08.19,305-6985648-2985139,GLS Normalpaket,352559725590,17928338270115,,,
KL598341,KA529304,08.08.19,303-2234863-5437918,GLS Normalpaket,352559725606,44158009734443,,,
KL585284,KA517575,08.08.19,1089328979,GLS Normalpaket,352560297178,,,,
KL575005,KA509160,08.08.19,304-7732698-9836310,GLS Normalpaket,352559721394,17914035823283,,,
KL597004,KA528097,08.08.19,sand-MRFUKH4,GLS Normalpaket,352559721059,,,,
KL598612,KA530233,08.08.19,303-3662608-4099564,GLS Normalpaket,352559725644,49283476228867,,,
KL585293,KA517566,08.08.19,1089308541,GLS Normalpaket,352560297185,,,,
KL597688,KA529429,08.08.19,304-6320585-7934760,GLS Normalpaket,352559725651,69501958701035,,,
KL583767,KA516409,08.08.19,305-3582069-3474753,GLS Normalpaket,352559720991,67367084341875,,,
KL597743,KA529376,08.08.19,304-0622447-5763552,GLS Normalpaket,352559725668,21855842117203,,,
KL597747,KA529372,08.08.19,304-0113009-0070726,GLS Normalpaket,352559725675,53884200722339,,,
KL595840,KA525751,08.08.19,028-7643676-8077138,GLS Normalpaket,352559721066,51948929209467,,,
KL595841,KA525751,08.08.19,028-7643676-8077138,GLS Normalpaket,352559721073,51948929209467,,,
KL597237,KA528289,08.08.19,2471864690,GLS Normalpaket,352559721103,,,,
KL597223,KA528302,08.08.19,2472199260,GLS Normalpaket,352559721110,,,,
KL591014,KA521829,08.08.19,028-8432349-8501927,GLS Normalpaket,352559721004,62264061297331,,,
KL597426,KA528449,08.08.19,857-367-994,GLS Normalpaket,352559721127,,,,
KL597528,KA529191,08.08.19,171-7127150-7670742,GLS Normalpaket,352559725705,64315424156235,,,
KL591013,KA521829,08.08.19,028-8432349-8501927,GLS Normalpaket,352559721011,62264061297331,,,
KL593824,KA524202,08.08.19,304-9145961-2907544,GLS Normalpaket,352559721028,37330627468299,,,
KL597803,KA529712,08.08.19,406-8523123-5825964,GLS Normalpaket,352559725712,63339583304235,,,
KL597813,KA529702,08.08.19,406-0439045-2749959,GLS Normalpaket,352559725729,18026927061019,,,
KL593357,KA524626,08.08.19,306-5856394-5835569,GLS Normalpaket,352559721035,49271926181923,,,
KL597726,KA529393,08.08.19,304-1839448-9597905,GLS Normalpaket,352559725736,04201578614443,,,
KL597627,KA529487,08.08.19,305-3018645-4717145,GLS Normalpaket,352559725750,06379092496883,,,
KL588368,KA519516,08.08.19,028-0756615-8183557,,143233966756,55125842796339,,,
KL593319,KA524654,08.08.19,306-7241539-8699558,GLS Normalpaket,352559721042,01335545643387,,,
KL590211,KA521690,08.08.19,4288589004-A-1,DPD Predict,01345057491298,,,,
KL599129,KA530415,08.08.19,305-2614828-2029962,GLS Normalpaket,352559725910,03492177910467,,,
KL594884,KA526218,08.08.19,304-8929442-5897168,GLS Normalpaket,352559721080,15316761095627,,,
KL599192,KA530361,08.08.19,304-6577894-8166711,GLS Normalpaket,352559725927,14245043982611,,,
KL595298,KA526395,08.08.19,306-1335783-8281143,GLS Normalpaket,352559721097,35054662650923,,,
KL585785,KA518710,08.08.19,sand-M8QH7H4,GLS Normalpaket,352559718875,,,,
KL596177,KA526824,08.08.19,sand-M11TSH4,,143233966473,,,,
KL587287,KA519260,08.08.19,sand-MF187H4,GLS Normalpaket,352559718943,,,,
