DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL598623,KA530222,08.08.19,303-2809598-0366757,GLS Normalpaket,352559725798,45311455036235,,,
KL597470,KA529111,08.08.19,028-1540663-7574760,DPD Predict,01345057491538,05873006793587,,,
KL598878,KA530632,08.08.19,405-2636078-1955533,GLS Normalpaket,352559725958,61594390513627,,,
KL598664,KA530183,08.08.19,302-9384085-9238761,GLS Normalpaket,352559725804,53130143412731,,,
KL598940,KA530578,08.08.19,306-9143503-6409931,GLS Normalpaket,352559725965,50233802889283,,,
KL598486,KA530040,08.08.19,028-6881306-8462708,DPD Predict,01345057491539,34670323518867,,,
KL598814,KA530689,08.08.19,408-5889760-4297923,GLS Normalpaket,352559725811,13188355911835,,,
KL598575,KA530264,08.08.19,303-6122360-1675558,DPD Predict,01345057491598,21519976211515,,,
KL598899,KA530612,08.08.19,403-7187700-1262716,GLS Normalpaket,352559725828,18522618020203,,,
KL597895,KA529624,08.08.19,306-7359582-1742751,DPD Predict,01345057491599,23012564840363,,,
KL573599,KA507868,08.08.19,2029973668007_2,DPD Predict,01345057491618,,,,
KL599169,KA530381,08.08.19,304-8840755-8188323,DPD Predict,01345057491579,38534337925227,,,
KL598983,KA530541,08.08.19,306-4944270-8220300,GLS Normalpaket,352559725835,53992705572651,,,
KL599100,KA530441,08.08.19,305-5053744-1033126,GLS Normalpaket,352559725972,58310718380819,,,
KL599185,KA530368,08.08.19,304-7558038-2383540,DPD Predict,01345057491580,35847095774155,,,
KL582670,KA517254,08.08.19,304-2737739-2090755_2,DPD Predict,01345057491614,,,,
KL599148,KA530400,08.08.19,305-1242566-5931545,DPD Predict,01345057491589,28628031787259,,,
KL598639,KA530207,08.08.19,303-1521797-8450725,DPD Predict,01345057491495,58928532898795,,,
KL587281,KA519245,08.08.19,305-6894610-9289155-2,DPD Predict,01345057491615,,,,
KL588676,KA520410,08.08.19,306-7077133-7625114_2,DPD Predict,01345057491626,,,,
KL576987,KA510938,08.08.19,028-9406984-8773902,DPD Predict,01345057491619,,,,
KL588693,KA520412,08.08.19,303-1946868-3549929_2,DPD Predict,01345057491616,,,,
KL572555,KA506997,08.08.19,MZWZTZ1_2,DPD Predict,01345057491617,,,,
KL591436,KA522699,08.08.19,303-9235959-3697141_2,DPD Predict,01345057491610,,,,
KL592287,KA525209,08.08.19,,DPD Predict,01345057491611,,,,
KL581115,KA514218,08.08.19,303-8793355-8965144,DPD Predict,01345057491620,,,,
KL586368,KA518913,08.08.19,303-2477130-9396338-2,DPD Predict,01345057491613,,,,
KL590007,KA521558,08.08.19,303-0139692-0336370_2,DPD Predict,01345057491621,,,,
KL591639,KA522892,08.08.19,sand-M8PCLH4,GLS Normalpaket,352559719759,,,,
KL598654,KA530193,08.08.19,303-0800651-7093153,DPD Predict,01345057491474,65589067539627,,,
KL582663,KA517252,08.08.19,303-8642259-9548327_2,DPD Predict,01345054511465,,,,
KL591642,KA522892,08.08.19,sand-M8PCLH4,GLS Normalpaket,352559719704,,,,
KL591493,KA522732,08.08.19,sand-MG1RLH4,GLS Normalpaket,352559719698,,,,
KL591890,KA523069,08.08.19,sand-M68ZLH4,GLS Normalpaket,352559719773,,,,
KL591587,KA522818,08.08.19,sand-MEELLH4,GLS Normalpaket,352559719711,,,,
KL591586,KA522818,08.08.19,sand-MEELLH4,GLS Normalpaket,352559719728,,,,
KL597270,KA528440,08.08.19,10122930,GLS Normalpaket,352559720014,,,,
KL591641,KA522892,08.08.19,sand-M8PCLH4,GLS Normalpaket,352559719735,,,,
KL598671,KA530177,08.08.19,302-8733727-1563520,DPD Predict,01345057491484,13064832878963,,,
KL591640,KA522892,08.08.19,sand-M8PCLH4,GLS Normalpaket,352559719742,,,,
KL598466,KA530058,08.08.19,028-8630736-1046733,DPD Predict,01345057491459,00763628711915,,,
KL598219,KA529772,08.08.19,1908060457SXGW7,GLS Normalpaket,352559725118,,,,
KL598682,KA530167,08.08.19,302-8061961-3435512,DPD Predict,01345057491467,52771201010939,,,
KL598220,KA529771,08.08.19,1908060328SXLTY,GLS Normalpaket,352559725125,,,,
KL596526,KA527352,08.08.19,10093898,GLS Normalpaket,352559719957,,,,
KL598273,KA529541,08.08.19,305-7594298-1251532,GLS Normalpaket,352559725132,26342348966491,,,
KL597447,KA528462,08.08.19,028-0045208-5729144,GLS Normalpaket,352559720120,14480441316963,,,
KL598373,KA529272,08.08.19,302-8918145-2621920,GLS Normalpaket,352559725149,59768914481219,,,
KL591585,KA522819,08.08.19,sand-3706,GLS Normalpaket,352559720021,,,,
KL598301,KA529341,08.08.19,303-6915673-4924310,GLS Normalpaket,352559725163,67123226717891,,,
KL596521,KA527356,08.08.19,10114785,GLS Normalpaket,352559719964,,,,
KL598380,KA529265,08.08.19,302-8237504-5042768,GLS Normalpaket,352559725170,39857911189795,,,
KL597170,KA528201,08.08.19,sand-MDZ4KH4,GLS Normalpaket,352559720113,,,,
KL598319,KA529323,08.08.19,303-4467725-1678728,GLS Normalpaket,352559725194,46726302249451,,,
KL597269,KA528441,08.08.19,10123702,GLS Normalpaket,352559720007,,,,
KL597823,KA529693,08.08.19,405-5983227-6609934,GLS Normalpaket,352559725231,22864766642899,,,
KL591516,KA522779,08.08.19,sand-M9GSLH4,GLS Normalpaket,352559720038,,,,
KL598209,KA529781,08.08.19,1908061112SVS7N,GLS Normalpaket,352559725255,,,,
KL591584,KA522819,08.08.19,sand-3706,GLS Normalpaket,352559720045,,,,
KL598236,KA529755,08.08.19,1908051508T27GN,GLS Normalpaket,352559725262,,,,
KL597419,KA528305,08.08.19,2472222730,GLS Normalpaket,352559720205,,,,
KL597450,KA514868,08.08.19,304-1196092-6249924,DPD Predict,01345057491638,68896040976859,,,
