DO Number;Referenzbeleg;Date;Client Order Reference;Courier;Tracking Reference;Comission;Comission 2
KL569621;KA504645;23.07.2019;10059862;GLS Normalpaket;352559615471;;
KL578336;KA512267;23.07.2019;10061389;DPD Predict;;;
KL576470;KA510906;23.07.2019;10069322;GLS Normalpaket;352559616980;;
KL576469;KA510906;23.07.2019;10069322;GLS Normalpaket;352559616997;;
KL576468;KA510907;23.07.2019;10070058;GLS Normalpaket;352559616799;;
KL576466;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616911;;
KL576464;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616935;;
KL576463;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616942;;
KL576462;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616959;;
KL576461;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616966;;
KL576467;KA510908;23.07.2019;10070916;GLS Normalpaket;352559617048;;
KL576465;KA510908;23.07.2019;10070916;GLS Normalpaket;352559617062;;
KL576455;KA510912;23.07.2019;10075397;DPD Predict;;;
KL576454;KA510912;23.07.2019;10075397;DPD Predict;;;
KL576452;KA510913;23.07.2019;10076527;DPD Predict;;;
KL576453;KA510913;23.07.2019;10076527;DPD Predict;;;
KL576451;KA510914;23.07.2019;10076536;DPD Predict;;;
KL576450;KA510914;23.07.2019;10076536;DPD Predict;;;
KL578334;KA512269;23.07.2019;10079339;GLS Normalpaket;352559623889;;
KL576428;KA510295;23.07.2019;42742187;GLS Normalpaket;352559616768;;
KL576427;KA510296;23.07.2019;42744300;DPD Predict;;;
KL576426;KA510297;23.07.2019;42760052;DPD Predict;;;
KL576425;KA510298;23.07.2019;42781056;DPD Predict;;;
KL572797;KA487303;23.07.2019;1086697355;DPD Predict;1345056172615;;
KL569679;KA504590;23.07.2019;1088322875;DPD Predict;1345056172599;;
KL569678;KA504590;23.07.2019;1088322875;DPD Predict;1345056172600;;
KL569649;KA504618;23.07.2019;1088446881;GLS Normalpaket;352560290261;;
KL569648;KA504618;23.07.2019;1088446881;GLS Normalpaket;352560290278;;
KL572663;KA507095;23.07.2019;1088508611;GLS Normalpaket;352560290117;;
KL572652;KA507104;23.07.2019;1088567077;GLS Normalpaket;352560290100;;
KL576737;KA510665;23.07.2019;1088594029;GLS Normalpaket;352530055333;;
KL576735;KA510667;23.07.2019;1088613591;GLS Paket OVL Berlin;103004142673;;
KL576734;KA510668;23.07.2019;1088614715;GLS Normalpaket;352560290032;;
KL572618;KA507134;23.07.2019;1088655425;;352530057047;;
KL576731;KA510671;23.07.2019;1088657805;DPD Predict;1345056172601;;
KL576729;KA510673;23.07.2019;1088683725;DPD Predict;1345056172603;;
KL576728;KA510673;23.07.2019;1088683725;DPD Predict;1345056172609;;
KL576727;KA510674;23.07.2019;1088685349;;352530055968;;
KL576726;KA510675;23.07.2019;1088685743;;352530056811;;
KL576725;KA510676;23.07.2019;1088687853;DPD Predict;1345056172623;;
KL576724;KA510677;23.07.2019;1088688673;DPD Predict;1345056172617;;
KL576723;KA510678;23.07.2019;1088689181;;352530055555;;
KL576722;KA510679;23.07.2019;1088690329;;352530056217;;
KL576721;KA510680;23.07.2019;1088692899;;352530055562;;
KL576720;KA510681;23.07.2019;1088693421;GLS Normalpaket;352560290049;;
KL576718;KA510683;23.07.2019;1088697075;DPD Predict;1345056172616;;
KL576717;KA510684;23.07.2019;1088701315;;352530055579;;
KL576716;KA510685;23.07.2019;1088703715;;352530056828;;
KL576715;KA510686;23.07.2019;1088704399;;352530055487;;
KL576714;KA510687;23.07.2019;1088704787;;352530055449;;
KL576713;KA510687;23.07.2019;1088704787;;352530055456;;
KL576712;KA510687;23.07.2019;1088704787;;352530055463;;
KL576711;KA510687;23.07.2019;1088704787;;352530055470;;
KL576710;KA510688;23.07.2019;1088704811;;352530057016;;
KL576709;KA510689;23.07.2019;1088705899;;352530056200;;
KL576708;KA510690;23.07.2019;1088706333;GLS Normalpaket;352560290056;;
KL576706;KA510692;23.07.2019;1088707579;;352530056835;;
KL576705;KA510693;23.07.2019;1088707645;;352530056590;;
KL576704;KA510694;23.07.2019;1088709565;;352530055753;;
KL576703;KA510694;23.07.2019;1088709565;;352530055609;;
KL576702;KA510695;23.07.2019;1088712069;;352530056705;;
KL576701;KA510696;23.07.2019;1088712223;;352530057030;;
KL576700;KA510697;23.07.2019;1088715837;;352530055777;;
KL576699;KA510698;23.07.2019;1088720769;GLS Normalpaket;352560290063;;
KL576697;KA510700;23.07.2019;1088726693;;352530056842;;
KL576696;KA510701;23.07.2019;1088727051;;352530056194;;
KL576695;KA510702;23.07.2019;1088728627;;352530056477;;
KL576694;KA510703;23.07.2019;1088729299;;352530056545;;
KL576693;KA510704;23.07.2019;1088729435;;352530056347;;
KL576692;KA510705;23.07.2019;1088729437;;352530056026;;
KL576690;KA510707;23.07.2019;1088745261;;352530056019;;
KL576687;KA510710;23.07.2019;1088746725;;352530056002;;
KL576686;KA510711;23.07.2019;1088747557;;352530056460;;
KL576685;KA510712;23.07.2019;1088753307;;352530056354;;
KL576684;KA510713;23.07.2019;1088753767;;352530055999;;
KL576683;KA510714;23.07.2019;1088754533;;352530055791;;
KL576682;KA510715;23.07.2019;1088754581;;352530056453;;
KL576681;KA510716;23.07.2019;1088756903;;352530055616;;
KL576680;KA510717;23.07.2019;1088756935;;352530056668;;
KL576679;KA510718;23.07.2019;1088756941;;352530055869;;
KL576678;KA510719;23.07.2019;1088761331;GLS Normalpaket;352560290179;;
KL576677;KA510720;23.07.2019;1088766037;;352530055852;;
KL576676;KA510721;23.07.2019;1088775489;;352530056316;;
KL576675;KA510722;23.07.2019;1088778251;;352530056620;;
KL576674;KA510723;23.07.2019;1088779547;DPD Predict;1345056172604;;
KL576673;KA510724;23.07.2019;1088781055;DPD Predict;1345056172613;;
KL576672;KA510725;23.07.2019;1088781093;;352530056675;;
KL576665;KA510731;23.07.2019;1088792271;;352530056293;;
KL576664;KA510732;23.07.2019;1088798431;;352530056323;;
KL576663;KA510733;23.07.2019;1088803727;;352530056682;;
KL576661;KA510735;23.07.2019;1088805991;;352530055593;;
KL576660;KA510736;23.07.2019;1088806285;;352530056163;;
KL576659;KA510737;23.07.2019;1088812597;;352530056934;;
KL576658;KA510738;23.07.2019;1088816497;GLS Normalpaket;352530055326;;
KL576657;KA510739;23.07.2019;1088817547;GLS Normalpaket;352530055357;;
KL576656;KA510740;23.07.2019;1088817845;;352530056699;;
KL576655;KA510741;23.07.2019;1088817851;;352530056170;;
KL576651;KA510745;23.07.2019;1088826223;GLS Paket OVL Berlin;103004142666;;
KL576649;KA510747;23.07.2019;1088829873;;352530056538;;
KL576646;KA510748;23.07.2019;1088830985;;352530056125;;
KL576647;KA510748;23.07.2019;1088830985;;352530056132;;
KL576648;KA510748;23.07.2019;1088830985;;352530056149;;
KL576644;KA510749;23.07.2019;1088831859;;352530055784;;
KL576645;KA510749;23.07.2019;1088831859;;352530055630;;
KL576643;KA510750;23.07.2019;1088832647;DPD Predict;1345056172608;;
KL576642;KA510751;23.07.2019;1088833979;GLS Normalpaket;352560290186;;
KL576640;KA510752;23.07.2019;1088835635;;352530055975;;
KL576641;KA510752;23.07.2019;1088835635;;352530055982;;
KL576639;KA510753;23.07.2019;1088835721;;352530056712;;
KL576638;KA510754;23.07.2019;1088836549;;352530056101;;
KL576637;KA510755;23.07.2019;1088837533;;352530056446;;
KL576634;KA510757;23.07.2019;1088838741;;352530056095;;
KL576633;KA510758;23.07.2019;1088842591;;352530056941;;
KL576632;KA510759;23.07.2019;1088848037;;352530055678;;
KL576631;KA510760;23.07.2019;1088850071;;352530056569;;
KL576629;KA510762;23.07.2019;1088850861;;352530056859;;
KL576628;KA510763;23.07.2019;1088851251;;352530056552;;
KL576627;KA510764;23.07.2019;1088851383;;352530056071;;
KL576626;KA510765;23.07.2019;1088851401;;352530056330;;
KL576625;KA510766;23.07.2019;1088851413;;352530056057;;
KL576624;KA510767;23.07.2019;1088852527;DPD Predict;1345056172614;;
KL576619;KA510771;23.07.2019;1088855491;DPD Predict;1345056172611;;
KL576618;KA510772;23.07.2019;1088855499;GLS Normalpaket;352530055340;;
KL576617;KA510773;23.07.2019;1088856881;;352530055920;;
KL576616;KA510774;23.07.2019;1088857461;DPD Predict;1345056172607;;
KL576615;KA510775;23.07.2019;1088858749;DPD Predict;1345056172621;;
KL576613;KA510777;23.07.2019;1088859567;;352530056248;;
KL576611;KA510779;23.07.2019;1088860999;DPD Predict;1345056172612;;
KL576609;KA510781;23.07.2019;1088866611;GLS Normalpaket;352530055319;;
KL576608;KA510782;23.07.2019;1088870461;;352530055685;;
KL576607;KA510782;23.07.2019;1088870461;;352530055692;;
KL576606;KA510783;23.07.2019;1088871557;;352530055388;;
KL576605;KA510784;23.07.2019;1088874873;;352530055708;;
KL576604;KA510785;23.07.2019;1088877169;;352530056231;;
KL576600;KA510789;23.07.2019;1088881813;;352530056439;;
KL576599;KA510790;23.07.2019;1088882549;;352530056224;;
KL576598;KA510791;23.07.2019;1088883845;;352530056422;;
KL576597;KA510792;23.07.2019;1088885875;;352530056033;;
KL576595;KA510794;23.07.2019;1088887585;GLS Paket OVL Berlin;103004142659;;
KL576594;KA510795;23.07.2019;1088888235;;352530055715;;
KL576591;KA510798;23.07.2019;1088889019;;352530056606;;
KL576588;KA510801;23.07.2019;1088893427;;352530056910;;
KL576587;KA510802;23.07.2019;1088894263;;352530056729;;
KL576586;KA510803;23.07.2019;1088895837;GLS Normalpaket;352560290025;;
KL576585;KA510804;23.07.2019;1088897769;;352530056958;;
KL576582;KA510807;23.07.2019;1088900419;;352530056613;;
KL576581;KA510808;23.07.2019;1088900433;;352530055548;;
KL576580;KA510808;23.07.2019;1088900433;;352530055722;;
KL576578;KA510809;23.07.2019;1088904265;;352530055746;;
KL576579;KA510809;23.07.2019;1088904265;;352530055739;;
KL576577;KA510810;23.07.2019;1088904751;DPD Predict;1345056172622;;
KL576576;KA510811;23.07.2019;1088907709;DPD Predict;1345056172602;;
KL576574;KA510812;23.07.2019;1088909197;;352530055494;;
KL576575;KA510812;23.07.2019;1088909197;;352530055760;;
KL576572;KA510814;23.07.2019;1088913155;;352530055432;;
KL576571;KA510815;23.07.2019;1088916395;;352530056736;;
KL576567;KA510819;23.07.2019;1088923653;;352530055883;;
KL576566;KA510820;23.07.2019;1088925893;;352530056279;;
KL576561;KA510824;23.07.2019;1088935815;;352530055876;;
KL576555;KA510830;23.07.2019;1088944103;;352530056866;;
KL576554;KA510831;23.07.2019;1088946521;;352530056187;;
KL576553;KA510832;23.07.2019;1088947901;;352530056873;;
KL576551;KA510833;23.07.2019;1088952979;;352530056415;;
KL576548;KA510836;23.07.2019;1088961207;;352530055425;;
KL576545;KA510838;23.07.2019;1088961389;;352530056521;;
KL576544;KA510839;23.07.2019;1088962763;;352530056880;;
KL578435;KA512177;23.07.2019;1088965197;GLS Normalpaket;352560290087;;
KL578434;KA512178;23.07.2019;1088967173;DPD Predict;1345056172619;;
KL576543;KA510840;23.07.2019;1088969297;;352530055845;;
KL576542;KA510841;23.07.2019;1088970043;;352530055418;;
KL576540;KA510843;23.07.2019;1088974599;;352530056965;;
KL576539;KA510844;23.07.2019;1088976335;;352530056408;;
KL576538;KA510845;23.07.2019;1088976341;;352530056309;;
KL576537;KA510846;23.07.2019;1088976953;;352530055586;;
KL576536;KA510847;23.07.2019;1088977105;;352530056286;;
KL576535;KA510848;23.07.2019;1088978271;;352530056392;;
KL576534;KA510849;23.07.2019;1088978639;;352530056972;;
KL578433;KA512179;23.07.2019;1088979409;GLS Normalpaket;352560290209;;
KL578432;KA512180;23.07.2019;1088979703;GLS Normalpaket;352560290230;;
KL578431;KA512180;23.07.2019;1088979703;GLS Normalpaket;352560290247;;
KL576533;KA510850;23.07.2019;1088979777;;352530056040;;
KL578430;KA512181;23.07.2019;1088980013;DPD Predict;1345056172620;;
KL578429;KA512182;23.07.2019;1088980767;DPD Predict;1345056172624;;
KL578428;KA512183;23.07.2019;1088984513;GLS Normalpaket;352560290254;;
KL578427;KA512184;23.07.2019;1088984613;DPD Predict;1345056172625;;
KL578426;KA512185;23.07.2019;1088984621;GLS Normalpaket;352560290070;;
KL578425;KA512186;23.07.2019;1088988585;GLS Normalpaket;352560290124;;
KL576531;KA510852;23.07.2019;1088993465;;352530057023;;
KL576530;KA510853;23.07.2019;1088993645;;352530056385;;
KL578423;KA512188;23.07.2019;1088994793;DPD Predict;1345056172626;;
KL576528;KA510855;23.07.2019;1088994897;;352530055838;;
KL576526;KA510857;23.07.2019;1088998225;;352530055371;;
KL576525;KA510857;23.07.2019;1088998225;;352530055401;;
KL576524;KA510858;23.07.2019;1088998229;;352530055364;;
KL576523;KA510859;23.07.2019;1089001153;;352530056361;;
KL576521;KA510860;23.07.2019;1089007619;;352530055524;;
KL576522;KA510860;23.07.2019;1089007619;;352530055623;;
KL576520;KA510861;23.07.2019;1089007931;;352530056750;;
KL578421;KA512190;23.07.2019;1089009083;GLS Normalpaket;352560290193;;
KL576519;KA510862;23.07.2019;1089009451;;352530056767;;
KL576518;KA510863;23.07.2019;1089011251;;352530056378;;
KL576517;KA510864;23.07.2019;1089011279;;352530056262;;
KL576516;KA510865;23.07.2019;1089023779;;352530056118;;
KL576515;KA510866;23.07.2019;1089026503;;352530055531;;
KL576514;KA510867;23.07.2019;1089026545;;352530055500;;
KL576513;KA510868;23.07.2019;1089026869;DPD Predict;1345056172606;;
KL576512;KA510869;23.07.2019;1089026917;;352530055944;;
KL576510;KA510870;23.07.2019;1089026929;;352530055654;;
KL576511;KA510870;23.07.2019;1089026929;;352530055814;;
KL576509;KA510870;23.07.2019;1089026929;;352530055517;;
KL576508;KA510871;23.07.2019;1089027531;;352530055951;;
KL578419;KA512192;23.07.2019;1089031999;GLS Normalpaket;352560290131;;
KL576506;KA510873;23.07.2019;1089033797;;352530056996;;
KL576504;KA510875;23.07.2019;1089036453;;352530056774;;
KL578418;KA512193;23.07.2019;1089038531;DPD Predict;1345056172628;;
KL576503;KA510876;23.07.2019;1089042557;;352530055913;;
KL576502;KA510877;23.07.2019;1089043765;;352530056088;;
KL576501;KA510878;23.07.2019;1089044727;;352530056989;;
KL576500;KA510879;23.07.2019;1089046885;;352530055661;;
KL576499;KA510880;23.07.2019;1089047491;;352530056637;;
KL576498;KA510881;23.07.2019;1089047895;;352530056064;;
KL578416;KA512195;23.07.2019;1089048175;DPD Predict;1345056172618;;
KL576497;KA510882;23.07.2019;1089048919;;352530056255;;
KL576496;KA510883;23.07.2019;1089049019;;352530055821;;
KL576495;KA510884;23.07.2019;1089050007;;352530056644;;
KL576494;KA510885;23.07.2019;1089050203;;352530055395;;
KL578414;KA512197;23.07.2019;1089051445;DPD Predict;1345056172627;;
KL576493;KA510886;23.07.2019;1089052893;;352530055807;;
KL578412;KA512199;23.07.2019;1089053299;GLS Normalpaket;352560290285;;
KL578411;KA512200;23.07.2019;1089053639;GLS Normalpaket;352560290162;;
KL576492;KA510887;23.07.2019;1089053765;;352530056897;;
KL576491;KA510888;23.07.2019;1089053911;;352530055937;;
KL576489;KA510889;23.07.2019;1089054105;DPD Predict;1345056172610;;
KL576488;KA510889;23.07.2019;1089054105;DPD Predict;1345056172605;;
KL576487;KA510890;23.07.2019;1089055239;;352530056156;;
KL576486;KA510891;23.07.2019;1089055561;;352530056507;;
KL576485;KA510892;23.07.2019;1089055849;;352530056781;;
KL576484;KA510893;23.07.2019;1089055985;;352530056651;;
KL576483;KA510894;23.07.2019;1089056113;;352530056798;;
KL578409;KA512202;23.07.2019;1089057021;GLS Normalpaket;352560290094;;
KL576481;KA510896;23.07.2019;1089057735;;352530055906;;
KL576480;KA510897;23.07.2019;1089059425;;352530055890;;
KL576479;KA510898;23.07.2019;1089060067;;352530056491;;
KL576478;KA510899;23.07.2019;1089061465;;352530057009;;
KL576477;KA510900;23.07.2019;1089061613;;352530056903;;
KL576476;KA510901;23.07.2019;1089069643;;352530056804;;
KL576475;KA510902;23.07.2019;1089069647;;352530056514;;
KL576474;KA510903;23.07.2019;1089070289;;352530056576;;
KL576473;KA510904;23.07.2019;1089076813;;352530056583;;
KL576472;KA510905;23.07.2019;1089077075;;352530056484;;
KL578406;KA512205;23.07.2019;1089079277;;352530057566;;
KL578405;KA512206;23.07.2019;1089080319;GLS Normalpaket;352560290155;;
KL578404;KA512207;23.07.2019;1089081043;;352530057368;;
KL578403;KA512208;23.07.2019;1089083723;;352530057375;;
KL578402;KA512209;23.07.2019;1089084085;;352530057108;;
KL578401;KA512210;23.07.2019;1089084893;;352530057238;;
KL578400;KA512211;23.07.2019;1089085747;;352530057573;;
KL578399;KA512212;23.07.2019;1089089929;;352530057320;;
KL578398;KA512212;23.07.2019;1089089929;;352530057337;;
KL578397;KA512212;23.07.2019;1089089929;;352530057344;;
KL578396;KA512213;23.07.2019;1089090807;;352530057627;;
KL578395;KA512214;23.07.2019;1089091613;;352530057092;;
KL578394;KA512215;23.07.2019;1089091645;;352530057474;;
KL578393;KA512216;23.07.2019;1089091977;;352530057412;;
KL578392;KA512217;23.07.2019;1089095357;;352530057269;;
KL578391;KA512217;23.07.2019;1089095357;;352530057276;;
KL578390;KA512218;23.07.2019;1089096999;;352530057443;;
KL578389;KA512219;23.07.2019;1089097261;;352530057528;;
KL578388;KA512220;23.07.2019;1089097371;;352530057085;;
KL578387;KA512221;23.07.2019;1089097415;;352530057467;;
KL578386;KA512222;23.07.2019;1089097927;;352530057535;;
KL578385;KA512223;23.07.2019;1089099685;;352530057177;;
KL578384;KA512224;23.07.2019;1089100383;;352530057184;;
KL578381;KA512227;23.07.2019;1089101857;;352530057405;;
KL578380;KA512228;23.07.2019;1089103095;;352530057290;;
KL578379;KA512229;23.07.2019;1089105711;;352530057245;;
KL578378;KA512230;23.07.2019;1089107851;;352530057115;;
KL578377;KA512230;23.07.2019;1089107851;;352530057122;;
KL578375;KA512232;23.07.2019;1089111769;;352530057382;;
KL578374;KA512233;23.07.2019;1089115259;;352530057641;;
KL578373;KA512234;23.07.2019;1089118625;;352530057498;;
KL578372;KA512235;23.07.2019;1089121289;;352530057221;;
KL578371;KA512236;23.07.2019;1089124237;;352530057504;;
KL578370;KA512237;23.07.2019;1089125349;GLS Normalpaket;352560290148;;
KL578369;KA512238;23.07.2019;1089126789;;352530057054;;
KL578368;KA512239;23.07.2019;1089126791;;352530057160;;
KL578367;KA512240;23.07.2019;1089126877;;352530057542;;
KL578366;KA512241;23.07.2019;1089127281;;352530057580;;
KL578365;KA512241;23.07.2019;1089127281;;352530057597;;
KL578364;KA512242;23.07.2019;1089128905;;352530057559;;
KL578363;KA512243;23.07.2019;1089131073;GLS Normalpaket;352560290223;;
KL578362;KA512244;23.07.2019;1089131375;;352530057146;;
KL578361;KA512244;23.07.2019;1089131375;;352530057153;;
KL578360;KA512245;23.07.2019;1089132829;;352530057603;;
KL578359;KA512246;23.07.2019;1089133139;;352530057610;;
KL578357;KA512248;23.07.2019;1089135737;;352530057511;;
KL578356;KA512249;23.07.2019;1089135881;;352530057429;;
KL578355;KA512249;23.07.2019;1089135881;;352530057436;;
KL578354;KA512250;23.07.2019;1089140143;;352530057481;;
KL578353;KA512251;23.07.2019;1089140149;;352530057450;;
KL578352;KA512252;23.07.2019;1089141773;;352530057139;;
KL578351;KA512253;23.07.2019;1089142825;;352530057078;;
KL578350;KA512254;23.07.2019;1089143987;;352530057214;;
KL578349;KA512255;23.07.2019;1089145681;;352530057399;;
KL578348;KA512256;23.07.2019;1089145825;;352530057351;;
KL578346;KA512258;23.07.2019;1089148353;;352530057283;;
KL578345;KA512259;23.07.2019;1089148543;;352530057252;;
KL578343;KA512261;23.07.2019;1089149407;;352530057061;;
KL578341;KA512263;23.07.2019;1089153195;;352530057306;;
KL578340;KA512264;23.07.2019;1089153529;;352530057313;;
KL578339;KA512265;23.07.2019;1089157581;;352530057191;;
KL578338;KA512265;23.07.2019;1089157581;;352530057207;;
KL578337;KA512266;23.07.2019;1089164311;;352530057634;;
KL566621;KA502533;23.07.2019;1107052076;DPD COD BUS;1345057486978;;
KL566622;KA502533;23.07.2019;1107052076;DPD COD BUS;1345057486979;;
KL569694;KA504576;23.07.2019;1107061526;DPD Predict;1345057485933;;
KL569691;KA504579;23.07.2019;1107064701;DPD COD BUS;1345057486957;;
KL570336;KA506121;23.07.2019;1107069992;DPD COD BUS;1345057486886;;
KL576772;KA510631;23.07.2019;1107079067;DPD COD BUS;1345057486655;;
KL576769;KA510634;23.07.2019;1107081678;DPD COD BUS;1345057486952;;
KL576766;KA510637;23.07.2019;1107082011;DPD Predict;1345057486016;;
KL576763;KA510640;23.07.2019;1107082513;DPD COD BUS;1345057485958;;
KL576762;KA510641;23.07.2019;1107082749;DPD COD BUS;1345057486654;;
KL576759;KA510643;23.07.2019;1107083533;DPD COD BUS;1345057486653;;
KL576757;KA510645;23.07.2019;1107084214;DPD COD BUS;1345057486017;;
KL576754;KA510648;23.07.2019;1107085436;DPD COD BUS;1345057486951;;
KL576749;KA510653;23.07.2019;1107090129;DPD COD BUS;1345057486950;;
KL576746;KA510656;23.07.2019;1107094540;DPD COD BUS;1345057486652;;
KL576745;KA510657;23.07.2019;1107095106;DPD COD BUS;1345057486651;;
KL576743;KA510659;23.07.2019;1107097465;DPD COD BUS;1345057486650;;
KL578444;KA512169;23.07.2019;1107097588;DPD COD BUS;1345057486954;;
KL578443;KA512170;23.07.2019;1107099697;DPD Predict;1345057486953;;
KL578442;KA512171;23.07.2019;1107100014;DPD COD BUS;1345057486568;;
KL576740;KA510662;23.07.2019;1202446129;GLS Nachnahme BUS;352559614245;;
KL576424;KA510299;23.07.2019;2245878580;DPD Predict;1345057486748;;
KL576423;KA510300;23.07.2019;2321436600;GLS Normalpaket;352559623315;;
KL576422;KA510301;23.07.2019;2331976420;DPD Predict;1345057486960;;
KL576421;KA510302;23.07.2019;2374317040;DPD Predict;1345057486918;;
KL576420;KA510303;23.07.2019;2379723410;;143233958706;;
KL578322;KA511986;23.07.2019;2384104230;DPD Predict;1345057486630;;
KL576419;KA510304;23.07.2019;2387099880;;143233958690;;
KL578321;KA511987;23.07.2019;2407425430;DPD Predict;1345057486806;;
KL576418;KA510305;23.07.2019;2407610610;DPD Predict;1345057485952;;
KL559819;KA496090;23.07.2019;2418156610;DPD Predict;1345057486264;;
KL559766;KA496124;23.07.2019;2421668220;DPD Predict;1345057486331;;
KL559734;KA496136;23.07.2019;2421859180;DPD Predict;1345057486263;;
KL567580;KA502046;23.07.2019;2425945790;DPD Predict;1345057486332;;
KL576417;KA510306;23.07.2019;2427442620;GLS Normalpaket;352559616508;;
KL567538;KA502083;23.07.2019;2428062790;GLS Normalpaket;352559615464;;
KL567500;KA502115;23.07.2019;2429032040;DPD Predict;1345057486490;;
KL567501;KA502115;23.07.2019;2429032040;DPD Predict;1345057486491;;
KL567450;KA502162;23.07.2019;2430779970;DPD Predict;1345057486265;;
KL576416;KA510307;23.07.2019;2431057930;GLS Normalpaket;352559614658;;
KL567425;KA502185;23.07.2019;2431620700;GLS Normalpaket;352559615457;;
KL569782;KA504490;23.07.2019;2432084100;DPD Predict;1345057486266;;
KL567395;KA502210;23.07.2019;2432222550;DPD Predict;1345057486334;;
KL576414;KA510308;23.07.2019;2433176950;GLS Normalpaket;352559613903;;
KL576415;KA510308;23.07.2019;2433176950;GLS Normalpaket;352559613910;;
KL567364;KA502241;23.07.2019;2433245560;DPD Predict;1345057486333;;
KL569777;KA504495;23.07.2019;2433494200;DPD Predict;1345057486336;;
KL569770;KA504503;23.07.2019;2433792530;DPD Predict;1345057486959;;
KL569747;KA504524;23.07.2019;2434511260;DPD Predict;1345057486958;;
KL576413;KA510309;23.07.2019;2434628030;GLS Paket OVL Berlin;102986794290;;
KL569740;KA504530;23.07.2019;2434713070;GLS Normalpaket;352559615488;;
KL569739;KA504531;23.07.2019;2434746740;DPD Predict;1345057486042;;
KL572592;KA507017;23.07.2019;2434756090;GLS Normalpaket;352559615556;;
KL569732;KA504537;23.07.2019;2434827130;DPD Predict;1345057486955;;
KL569730;KA504539;23.07.2019;2434828550;DPD Predict;1345057486096;;
KL569723;KA504545;23.07.2019;2434991670;DPD Predict;1345057486044;;
KL569716;KA504552;23.07.2019;2435321890;DPD Predict;1345057486956;;
KL570248;KA505992;23.07.2019;2436045950;DPD Predict;1345057486058;;
KL570236;KA506001;23.07.2019;2436282570;DPD Predict;1345057486338;;
KL570237;KA506001;23.07.2019;2436282570;GLS Normalpaket;352559624039;;
KL570233;KA506004;23.07.2019;2436493520;DPD Predict;1345057486981;;
KL570232;KA506004;23.07.2019;2436493520;DPD Predict;1345057486982;;
KL570211;KA506022;23.07.2019;2436781780;GLS Normalpaket;352559615501;;
KL576412;KA510310;23.07.2019;2436941370;DPD Predict;1345057486972;;
KL570193;KA506038;23.07.2019;2437193590;DPD Predict;1345057486337;;
KL572591;KA507018;23.07.2019;2437498770;GLS Normalpaket;352559613101;;
KL572589;KA507020;23.07.2019;2437615200;GLS Normalpaket;352559613095;;
KL576411;KA510311;23.07.2019;2437809630;GLS Normalpaket;352559613170;;
KL578320;KA511988;23.07.2019;2438880570;GLS Normalpaket;352559623766;;
KL572719;KA507045;23.07.2019;2438941120;GLS Normalpaket;352559613088;;
KL572716;KA507048;23.07.2019;2439058020;GLS Normalpaket;352559616355;;
KL572715;KA507049;23.07.2019;2439130320;DPD Predict;1345057486271;;
KL572713;KA507050;23.07.2019;2439154170;DPD Predict;1345057486289;;
KL572714;KA507050;23.07.2019;2439154170;DPD Predict;1345057486290;;
KL576409;KA510313;23.07.2019;2439211540;GLS Normalpaket;352559616737;;
KL572710;KA507052;23.07.2019;2439215070;GLS Normalpaket;352559613064;;
KL572711;KA507052;23.07.2019;2439215070;GLS Normalpaket;352559613071;;
KL576406;KA510316;23.07.2019;2439454060;;143233958683;;
KL576405;KA510317;23.07.2019;2439553160;DPD Predict;1345057486375;;
KL576402;KA510319;23.07.2019;2439608830;DPD Predict;1345057486718;;
KL576401;KA510320;23.07.2019;2439612480;;143233958676;;
KL576400;KA510321;23.07.2019;2439719730;GLS Normalpaket;352559623339;;
KL576399;KA510322;23.07.2019;2439794740;GLS Normalpaket;352559613927;;
KL576398;KA510323;23.07.2019;2439849640;DPD Predict;1345057485972;;
KL576397;KA510324;23.07.2019;2439965510;DPD Predict;1345057485973;;
KL576396;KA510325;23.07.2019;2439968910;DPD Predict;1345057486725;;
KL576395;KA510326;23.07.2019;2439989970;DPD Predict;1345057486746;;
KL576394;KA510327;23.07.2019;2440027060;GLS Normalpaket;352559623346;;
KL576393;KA510328;23.07.2019;2440041690;GLS Paket OVL Berlin;102986794283;;
KL576391;KA510330;23.07.2019;2440067930;GLS Normalpaket;352559613163;;
KL576390;KA510331;23.07.2019;2440076690;GLS Normalpaket;352559613538;;
KL576389;KA510332;23.07.2019;2440092850;DPD Predict;1345057486461;;
KL576388;KA510332;23.07.2019;2440092850;DPD Predict;1345057486468;;
KL576387;KA510333;23.07.2019;2440093800;DPD Predict;1345057485982;;
KL576383;KA510335;23.07.2019;2440194160;DPD Predict;1345057485975;;
KL576382;KA510336;23.07.2019;2440281130;DPD Predict;1345057486376;;
KL576381;KA510337;23.07.2019;2440429230;DPD Predict;1345057485951;;
KL576380;KA510338;23.07.2019;2440476400;DPD Predict;1345057486744;;
KL576379;KA510339;23.07.2019;2440489980;GLS Normalpaket;352559613880;;
KL576378;KA510340;23.07.2019;2440530760;GLS Normalpaket;352559612012;;
KL576377;KA510341;23.07.2019;2440611660;DPD Predict;1345057486073;;
KL576376;KA510342;23.07.2019;2440647770;GLS Normalpaket;352559614603;;
KL576375;KA510343;23.07.2019;2440652440;GLS Normalpaket;352559612036;;
