DO Number;Referenzbeleg;Date;Client Order Reference;Courier;Tracking Reference;Comission;Comission 2
KL574897;KA509250;23.07.2019;305-1350496-3865908;;352559619264;4,36544E+13;
KL574898;KA509250;23.07.2019;305-1350496-3865908;;352559619271;4,36544E+13;
KL577364;KA511338;23.07.2019;305-1362249-3092312;DPD Predict;1345057486092;8,71886E+12;
KL577365;KA511338;23.07.2019;305-1362249-3092312;DPD Predict;1345057486908;4,31782E+13;
KL574896;KA509251;23.07.2019;305-1416562-8911526;DPD Predict;1345057486921;3,76443E+12;
KL577060;KA510225;23.07.2019;305-1467447-3586747;;143233959512;1,20074E+13;
KL574891;KA509256;23.07.2019;305-1599251-7157129;GLS Normalpaket;352559623261;6,74101E+13;
KL577361;KA511341;23.07.2019;305-1656520-5999507;GLS Normalpaket;352559623711;2,21888E+13;
KL574888;KA509259;23.07.2019;305-1774606-9801944;;352559619301;1,34916E+13;
KL574887;KA509259;23.07.2019;305-1774606-9801944;;352559619288;1,34916E+13;
KL574886;KA509260;23.07.2019;305-1856018-6946766;;352559619295;3,21551E+13;
KL577059;KA510226;23.07.2019;305-1905766-5176361;DPD Predict;1345057486789;9,99747E+12;
KL573028;KA507503;23.07.2019;305-1948454-9541168;GLS Normalpaket;352559615228;2,25497E+12;
KL577359;KA511343;23.07.2019;305-1967891-0200312;GLS Normalpaket;352559612654;1,52027E+12;
KL571040;KA505340;23.07.2019;305-2027032-6898755;GLS Normalpaket;352559616041;1,1949E+13;
KL577358;KA511344;23.07.2019;305-2030285-9645106;GLS Normalpaket;352559614535;2,24402E+13;
KL577357;KA511345;23.07.2019;305-2118507-2246752;DPD Predict;1345057485924;3,48025E+13;
KL577356;KA511346;23.07.2019;305-2132598-0614751;;352559617574;6,51327E+13;
KL577058;KA510227;23.07.2019;305-2138798-8845966;DPD Predict;1345057486475;5,937E+13;
KL577056;KA510228;23.07.2019;305-2192972-3765156;GLS Normalpaket;352559612487;2,9483E+13;
KL577057;KA510228;23.07.2019;305-2192972-3765156;GLS Normalpaket;352559617260;6,76877E+13;
KL574882;KA509264;23.07.2019;305-2225109-6673966;;352559622011;6,4506E+13;
KL577354;KA511348;23.07.2019;305-2310362-3958766;DPD Predict;1345057486393;2,82654E+12;
KL577055;KA510229;23.07.2019;305-2345317-8153900;DPD Predict;1345057486088;6,79941E+13;
KL571757;KA506574;23.07.2019;305-2456858-8825151;DPD Predict;1345057486674;2,8554E+12;
KL571758;KA506574;23.07.2019;305-2456858-8825151;DPD Predict;1345057486675;2,8554E+12;
KL577352;KA511350;23.07.2019;305-2505190-6994717;;352559621281;2,75504E+13;
KL577351;KA511351;23.07.2019;305-2557103-1184311;;352559619721;1,40159E+13;
KL577350;KA511351;23.07.2019;305-2557103-1184311;;352559619714;1,40159E+13;
KL577349;KA511352;23.07.2019;305-2591339-8647552;DPD Predict;1345057486819;8,90726E+11;
KL574870;KA509275;23.07.2019;305-2615781-6102735;DPD Predict;1345057487063;5,30773E+13;
KL577347;KA511353;23.07.2019;305-2627367-6241146;;352559619738;3,95583E+13;
KL577348;KA511353;23.07.2019;305-2627367-6241146;;352559619745;3,95583E+13;
KL577054;KA510230;23.07.2019;305-2634665-0733147;GLS Normalpaket;352559612494;21202912827;
KL574862;KA509278;23.07.2019;305-2720379-8658703;;352559619318;4,70065E+11;
KL574861;KA509278;23.07.2019;305-2720379-8658703;;352559619325;4,70065E+11;
KL574859;KA509280;23.07.2019;305-2736528-8529939;;143233958553;3,50365E+13;
KL574857;KA509282;23.07.2019;305-2768286-8440340;;352559622318;4,74193E+13;
KL577345;KA511355;23.07.2019;305-2797988-0426703;;143233959291;2,18172E+13;
KL574856;KA509283;23.07.2019;305-2808343-6398707;;352559619332;6,80519E+13;
KL577343;KA511357;23.07.2019;305-2835471-0381922;GLS Normalpaket;352559616294;5,28523E+12;
KL577053;KA510231;23.07.2019;305-2852125-0119503;DPD Predict;1345057486790;1,80389E+13;
KL577342;KA511358;23.07.2019;305-2924503-6703555;;352559617475;3,53206E+13;
KL577341;KA511358;23.07.2019;305-2924503-6703555;;352559617482;3,53206E+13;
KL574849;KA509287;23.07.2019;305-2928202-2797146;;352559620277;1,1395E+13;
KL574850;KA509287;23.07.2019;305-2928202-2797146;;352559620284;1,1395E+13;
KL574851;KA509287;23.07.2019;305-2928202-2797146;;352559620291;1,1395E+13;
KL574852;KA509287;23.07.2019;305-2928202-2797146;;352559620307;1,1395E+13;
