orderItemId,ean,cancelRequest,quantity,orderId,dateTimeOrderPlaced
2282043919,0669145852532,False,1,2471984900,2019-08-06T12:28:56+02:00
2282039729,0669145852563,False,1,2471972520,2019-08-06T12:20:46+02:00
2282033615,0669145852341,False,1,2458645250,2019-08-06T12:08:36+02:00
2282024644,0649106505158,False,1,2471885320,2019-08-06T11:51:37+02:00
2282017082,0669145852785,False,1,2471888030,2019-08-06T11:38:22+02:00
2282015412,0669145852594,False,1,2471888760,2019-08-06T11:35:02+02:00
2282015336,0649106505202,False,1,2471888970,2019-08-06T11:34:54+02:00
2282008962,0649106504823,False,1,2471864690,2019-08-06T11:22:06+02:00
2282006880,0669145852518,False,1,2471858720,2019-08-06T11:17:48+02:00
2281998963,0669145856677,False,1,2471830500,2019-08-06T11:02:01+02:00
2281988510,0669145852532,False,1,2471787390,2019-08-06T10:40:43+02:00
2281985896,0649106504793,False,1,2471776430,2019-08-06T10:35:39+02:00
2281985698,0649106504656,False,1,2470969320,2019-08-06T10:35:19+02:00
2281977783,0669145852495,False,1,2463929060,2019-08-06T10:18:35+02:00
2281970037,0669145852532,False,1,2471725000,2019-08-06T10:01:17+02:00
2281965166,0649106504793,False,1,2471712640,2019-08-06T09:49:36+02:00
2281956932,0669145852525,False,1,2471684530,2019-08-06T09:28:07+02:00
2281951012,0649106504656,False,1,2470839270,2019-08-06T09:10:59+02:00
2281946120,0649106511081,False,1,2471646240,2019-08-06T08:56:14+02:00
2281937324,0669145853041,False,1,2471614400,2019-08-06T08:22:37+02:00
2281934694,0649106510121,False,1,2471605420,2019-08-06T08:10:32+02:00
2281930714,0649106504670,False,1,2463738810,2019-08-06T07:49:28+02:00
2281913401,0669145852525,False,1,2433998800,2019-08-06T00:59:13+02:00
2281907127,0669145852792,False,1,2471510770,2019-08-06T00:08:22+02:00
2281899766,0669145852792,False,2,2471476320,2019-08-05T23:43:49+02:00
2281884420,0649106505158,False,1,2471438740,2019-08-05T23:08:17+02:00
2281880038,0649106504908,False,1,2471427140,2019-08-05T22:59:57+02:00
2281867576,0669145852792,False,1,2471387500,2019-08-05T22:39:21+02:00
2281858442,0669145852563,False,1,2471354650,2019-08-05T22:25:35+02:00
2281853351,0669145852495,False,1,2447568100,2019-08-05T22:18:29+02:00
2281831339,0669145851740,False,1,2471270470,2019-08-05T21:50:22+02:00
2281829947,0649106507787,False,1,2471267340,2019-08-05T21:48:51+02:00
2281803294,0649106505196,False,1,2471180400,2019-08-05T21:16:52+02:00
2281803293,0649106505233,False,1,2471180400,2019-08-05T21:16:52+02:00
2281782736,0669145856691,False,1,2470997470,2019-08-05T20:51:30+02:00
2281782735,0649106504885,False,1,2470997470,2019-08-05T20:51:30+02:00
2281767361,0649106505295,False,1,2471059530,2019-08-05T20:31:58+02:00
2281762199,0669145851740,False,1,2471049050,2019-08-05T20:25:18+02:00
2281760960,0649106505325,False,1,2471043680,2019-08-05T20:23:41+02:00
2281757069,0669145853041,False,1,2471026410,2019-08-05T20:18:26+02:00
2281789487,0669145852785,False,1,2471027680,2019-08-05T20:16:51+02:00
2281741359,0649106506452,False,2,2470975570,2019-08-05T19:56:33+02:00
2281732768,0649106510176,False,1,2358227070,2019-08-05T19:44:16+02:00
2281725869,0669145852495,False,1,2470924720,2019-08-05T19:34:10+02:00
2281725868,0669145852525,False,1,2470924720,2019-08-05T19:34:10+02:00
2281714446,0649106505158,False,1,2470889680,2019-08-05T19:15:29+02:00
2281712704,0669145853041,False,1,2469120470,2019-08-05T19:12:23+02:00
2281705428,0649106504656,False,1,2470859000,2019-08-05T18:59:42+02:00
2281698532,0669145852525,False,1,2470833440,2019-08-05T18:47:30+02:00
2281693928,0669145852518,False,1,2470819240,2019-08-05T18:39:18+02:00
2281692496,0669145853034,False,1,2470811390,2019-08-05T18:36:42+02:00
2281684226,0649106508654,False,1,2435714990,2019-08-05T18:20:36+02:00
2281655302,0669145851740,False,1,2470686170,2019-08-05T17:23:50+02:00
2281636184,0649106509262,False,1,2470619840,2019-08-05T16:49:59+02:00
2281632126,0669145852761,False,1,2470596590,2019-08-05T16:43:14+02:00
2281627772,0669145852563,False,1,2470588570,2019-08-05T16:35:55+02:00
2281623334,0649106505271,False,1,2470574690,2019-08-05T16:28:04+02:00
2281613696,0649106508456,False,1,2458376060,2019-08-05T16:12:04+02:00
2281611156,0669145852563,False,2,2470497520,2019-08-05T16:07:32+02:00
2281603986,0649106503536,False,1,2470508610,2019-08-05T15:55:53+02:00
2281595154,0669145851733,False,1,2466568690,2019-08-05T15:42:13+02:00
2281594470,0649106504724,False,1,2470476110,2019-08-05T15:40:59+02:00
2281594348,0669145852532,False,1,2470475740,2019-08-05T15:40:48+02:00
2281592438,0649106504649,False,1,2470470600,2019-08-05T15:37:51+02:00
2281591884,0649106504861,False,1,2466205060,2019-08-05T15:36:49+02:00
