orderItemId,cancelRequest,orderId,Courier,track
2279856360,False,2464511120,GLS Normalpaket,352559699693
2279735341,False,2464082890,GLS Normalpaket,352559699808
2279588377,False,2463615510,DPD Predict,01345057490411
2279525247,False,2444460400,GLS Normalpaket,352559699792
2279176231,False,2462253530,DPD Predict,01345057490412
2279120677,False,2462066860,GLS Normalpaket,0352559699778
2279074263,False,2461904660,DPD Predict,01345057490479
2279058238,False,2461830790,DPD Predict,01345057490428
2278810248,False,2461053960,DPD Predict,01345057490427
2277958168,False,2458925320,DPD Predict,01345057490426
2277631186,False,2458190490,DPD Predict,01345057490424
2277302911,False,2457485420,DPD Predict,01345057490420
2276766049,False,2456329860,DPD Predict,01345057490421
